cycle_idx,start_idx,end_idx,duration,avg_current_magnitude
639,10763060,10766232,3173,3.198961695556256
640,10779757,10782927,3171,3.198937013560391
641,10796455,10799624,3170,3.1989501987381708
642,10813128,10816295,3168,3.198918090277778
643,10829810,10832977,3168,3.1989392077020202
644,10846490,10849657,3168,3.1989355618686868
645,10863170,10866334,3165,3.198949165876777
646,10879806,10882970,3165,3.1989349605055293
647,10896471,10899634,3164,3.198951994310999
648,10913148,10916311,3164,3.1989460208596716
649,10929802,10932964,3163,3.1989405184950996
650,10946423,10949588,3166,3.1989580669614655
651,10963105,10966266,3162,3.198952447817837
652,10979777,10982936,3160,3.198944556962026
653,10996393,10999552,3160,3.198946088607595
654,11013044,11016202,3159,3.1989570560303893
655,11029693,11032851,3159,3.1989496043051604
656,11046368,11049523,3156,3.1989473574144487
657,11063032,11066188,3157,3.198944938232499
658,11079714,11082870,3157,3.1989469464681664
659,11096385,11099540,3156,3.198952088086185
660,11113014,11116170,3157,3.1989582768451057
661,11129644,11132797,3154,3.1989414996829426
662,11146300,11149454,3155,3.1989483074484943
663,11162979,11166132,3154,3.198947219403932
664,11179643,11182796,3154,3.198948329105897
665,11196294,11199447,3154,3.1989430500951173
666,11212940,11216091,3152,3.198941380076142
667,11229570,11232721,3152,3.1989438229695435
668,11246231,11249382,3152,3.198947395304569
669,11262920,11266080,3161,3.19894608668143
670,11279602,11282751,3150,3.1989467301587298
671,11296261,11299411,3151,3.1989462583306887
672,11312874,11316022,3149,3.1989479326770405
673,11329515,11332663,3149,3.1989454684026675
674,11346177,11349324,3148,3.1989510959339267
675,11362805,11365952,3148,3.1989495584498093
676,11379455,11382603,3149,3.198947062559543
677,11396081,11399228,3148,3.1989445235069884
678,11412725,11415871,3147,3.1989494502700984
679,11429374,11432521,3148,3.1989458545108005
680,11445989,11449135,3147,3.198941611058151
681,11462640,11465786,3147,3.198980324118208
682,11479270,11482415,3146,3.1989326923076926
683,11496652,11499822,3171,3.198949511195207
684,11513372,11516545,3174,3.1989550441083803
685,11530085,11533257,3173,3.1989512890009455
686,11546761,11549933,3173,3.198961695556256
687,11563458,11566628,3171,3.198937013560391
688,11580156,11583325,3170,3.1989501987381708
689,11596829,11599996,3168,3.198918090277778
690,11613511,11616678,3168,3.1989392077020202
691,11630191,11633358,3168,3.1989355618686868
692,11646871,11650035,3165,3.198949165876777
693,11663507,11666671,3165,3.1989349605055293
694,11680172,11683335,3164,3.198951994310999
695,11696849,11700012,3164,3.1989460208596716
696,11713503,11716665,3163,3.1989405184950996
697,11730124,11733289,3166,3.1989580669614655
698,11746806,11749967,3162,3.198952447817837
699,11763478,11766637,3160,3.198944556962026
700,11780094,11783253,3160,3.198946088607595
701,11796745,11799903,3159,3.1989570560303893
702,11813394,11816552,3159,3.1989496043051604
703,11830069,11833224,3156,3.1989473574144487
704,11846733,11849889,3157,3.198944938232499
705,11863415,11866571,3157,3.1989469464681664
706,11880086,11883241,3156,3.198952088086185
707,11896715,11899871,3157,3.1989582768451057
708,11913345,11916498,3154,3.1989414996829426
709,11930001,11933155,3155,3.1989483074484943
710,11946680,11949833,3154,3.198947219403932
711,11963344,11966497,3154,3.198948329105897
712,11979995,11983148,3154,3.1989430500951173
713,11996641,11999792,3152,3.198941380076142
714,12013271,12016422,3152,3.1989438229695435
715,12029932,12033083,3152,3.198947395304569
716,12046621,12049781,3161,3.19894608668143
717,12063303,12066452,3150,3.1989467301587298
718,12079962,12083112,3151,3.1989462583306887
719,12096575,12099723,3149,3.1989479326770405
720,12113216,12116364,3149,3.1989454684026675
721,12129878,12133025,3148,3.1989510959339267
722,12146506,12149653,3148,3.1989495584498093
723,12163156,12166304,3149,3.198947062559543
724,12179782,12182929,3148,3.1989445235069884
725,12196426,12199572,3147,3.1989494502700984
726,12213075,12216222,3148,3.1989458545108005
727,12229690,12232836,3147,3.198941611058151
728,12246341,12249487,3147,3.198980324118208
729,12262971,12266116,3146,3.1989326923076926
730,12280294,12283455,3162,3.1989334218848833
731,12296856,12300017,3162,3.19894413029728
732,12313434,12316591,3158,3.198941025965801
733,12330042,12333200,3159,3.1989325957581514
734,12346608,12349762,3155,3.1989467575277333
735,12363191,12366323,3133,3.1989431120331946
736,12379855,12382979,3125,3.1989661568000005
737,12396397,12399530,3134,3.1989423771537973
738,12412974,12416105,3132,3.19893779054917
739,12429551,12432690,3140,3.198938675159236
740,12446152,12449280,3129,3.1989455257270696
741,12462714,12465854,3141,3.198945323145495
742,12479286,12482429,3144,3.198951052798982
743,12495869,12499011,3143,3.1989392300349984
744,12512446,12515579,3134,3.198944240587109
745,12529008,12532138,3131,3.198945972532737
746,12545603,12548740,3138,3.1989407297641814
747,12562110,12565256,3147,3.1989545090562443
748,12581360,12584516,3157,3.19894323408299
749,12598066,12601224,3159,3.19894950617284
750,12614749,12617906,3158,3.198941434452185
751,12631434,12634589,3156,3.1989455133079847
752,12648120,12651275,3156,3.19893839670469
753,12664779,12667932,3154,3.1989415187064045
754,12681447,12684598,3152,3.198948861040609
755,12698100,12701251,3152,3.1989477855329946
756,12714777,12717926,3150,3.1989435079365083
757,12731406,12734554,3149,3.1989381581454435
758,12748064,12751211,3148,3.198948850063533
759,12764699,12767846,3148,3.198947411054638
760,12781344,12784491,3148,3.1989551683608637
761,12797997,12801142,3146,3.198945518118246
762,12814630,12817783,3154,3.198942390615092
763,12831294,12834436,3143,3.1989404677060134
764,12847936,12851078,3143,3.198938714603882
765,12864575,12867716,3142,3.1989484945894335
766,12881218,12884359,3142,3.198931874602164
767,12897831,12900972,3142,3.198941113940166
768,12914480,12917620,3141,3.198955676536135
769,12931099,12934238,3140,3.1989435095541405
770,12947716,12950854,3139,3.198946632685569
771,12964348,12967486,3139,3.1989403982159925
772,12980967,12984104,3138,3.198937766093053
773,12997559,13000696,3138,3.1989469056724027
774,13014177,13017314,3138,3.198944222434672
775,13030794,13033930,3137,3.1989435862288804
776,13047426,13050562,3137,3.198942833917756
777,13064049,13067183,3135,3.1989436523126
778,13080728,13083862,3135,3.1989457767145133
779,13097352,13100485,3134,3.1989395724313976
780,13115581,13118695,3115,3.1989383100768456
781,13132274,13135391,3118,3.198938054292695
782,13148928,13152043,3116,3.198942485142328
783,13165560,13168674,3115,3.198934342241298
784,13182182,13185294,3113,3.1989334076040787
785,13198770,13201880,3111,3.198923422297003
786,13215355,13218465,3111,3.198930485296535
787,13231974,13235082,3109,3.1989346267722962
788,13248604,13251712,3109,3.1989343322913317
789,13265232,13268339,3108,3.1989376568800187
790,13281849,13284955,3107,3.198934500857273
791,13298469,13301574,3106,3.1989340693822137
792,13315090,13318193,3104,3.1989328369039094
793,13331689,13334791,3103,3.1989249544534917
794,13348315,13351417,3103,3.1989317406121085
795,13364872,13367973,3102,3.1989293154587695
796,13381507,13384608,3102,3.1989340377866275
797,13398109,13401209,3101,3.1989226815617964
798,13414707,13417807,3101,3.1989415769645992
799,13431324,13434423,3100,3.1989319176899245
800,13447933,13451032,3100,3.198933468203442
801,13464549,13467646,3098,3.1989278739331315
802,13481161,13484264,3104,3.1989393259209513
803,13497798,13500894,3097,3.198929138890863
804,13514378,13517474,3097,3.1989318733943093
805,13530984,13534080,3097,3.198930690906344
806,13547613,13550709,3097,3.1989386727001565
807,13564240,13567335,3096,3.1989370583090255
808,13580829,13583922,3094,3.1989285740178066
809,13597447,13600541,3095,3.1989321149781333
810,13614042,13617134,3093,3.1989199986946555
811,13630602,13633694,3093,3.198918740676363
812,13647208,13650300,3093,3.198924216756002
813,13663804,13666895,3092,3.1989263708765936
814,13680415,13683506,3092,3.1989279254017875
815,13697035,13700126,3092,3.1989332552024488
816,13713643,13716733,3091,3.1988990549057803
817,13730256,13733345,3090,3.1989267574356695
818,13746847,13749941,3095,3.1989061573851387
819,13763454,13766546,3093,3.1989257707785996
820,13780031,13783123,3093,3.1989259927818368
821,13796628,13799719,3092,3.198994399860061
822,13813215,13816306,3092,3.198923039751177
823,13829796,13832887,3092,3.198929553951984
824,13846376,13849465,3090,3.1989333499257055
825,13862970,13866060,3091,3.1989328212305383
826,13879578,13882667,3090,3.198920757528989
827,13896151,13899239,3089,3.1989248391412355
828,13912747,13915835,3089,3.1989148360595365
829,13929332,13932419,3088,3.1989019433906516
830,13948469,13951556,3088,3.198865920634933
831,13965110,13968197,3088,3.1989051305892002
832,13981721,13984808,3088,3.1989423392792546
833,13998325,14001410,3086,3.198917593419894
834,14014908,14017992,3085,3.198896527880078
835,14031541,14034624,3084,3.1988868038850855
836,14048133,14051215,3083,3.1989271863282154
837,14064743,14067824,3082,3.1989149409540096
838,14081336,14084416,3081,3.1989293574889963
839,14097945,14101024,3080,3.1989230499416337
840,14114549,14117627,3079,3.198927071217134
841,14131154,14134237,3084,3.1989156000937315
842,14147750,14150828,3079,3.1989139134700806
